District,Size m2,Rooms number,Price,Rent,URL
 Ursus,32.0,2,2000.0,395.0,https://www.olx.pl/d/oferta/mieszkanie-dwupokojowe-ursus-warszawa-do-wynajecia-CID3-IDLVMAO.html#4a0499b52f
 Śródmieście,54.0,2,3500.0,1.0,https://www.olx.pl/d/oferta/mieszkanie-w-starej-kamienicy-srodmiescie-krolewska-CID3-IDLGl0F.html#4a0499b52f;promoted
 Targówek,33.0,1,1700.0,1.0,https://www.olx.pl/d/oferta/kawalerka-na-wynajem-CID3-IDKN1J6.html#4a0499b52f
 Śródmieście,32.0,1,1900.0,200.0,https://www.olx.pl/d/oferta/mieszkanie-ul-tamka-w-warszawie-wynajme-CID3-IDLQC20.html#4a0499b52f;promoted
 Śródmieście,24.0,1,2000.0,1.0,https://www.olx.pl/d/oferta/al-wyzwolenia-24m2-plac-zbawiciela-CID3-IDLHkEY.html#4a0499b52f
 Śródmieście,20.0,1,2200.0,1.0,https://www.olx.pl/d/oferta/wynajme-mieszkanie-w-warszawie-ul-mokotowska-CID3-IDLVLYN.html#4a0499b52f
 Wilanów,50.0,2,2200.0,700.0,https://www.olx.pl/d/oferta/mieszkanie-na-wynajem-50m2-garaz-warszawa-wilanow-CID3-IDLVM1t.html#4a0499b52f
 Bemowo,42.0,2,2600.0,1.0,https://www.olx.pl/d/oferta/42m2-2-pokoje-na-biuro-wola-park-CID3-IDLVLJf.html#4a0499b52f;promoted
 Wola,46.0,2,3500.0,450.0,https://www.olx.pl/d/oferta/eleganckie-mieszkanie-w-nowym-apartamentowcu-w-poblizu-stacji-metra-CID3-IDLVLLm.html#4a0499b52f
 Śródmieście,34.0,1,2200.0,1.0,https://www.olx.pl/d/oferta/do-wynajecia-kawalerka-34m2-powisle-CID3-IDLVLrd.html#4a0499b52f
 Bemowo,42.0,2,2500.0,1.0,https://www.olx.pl/d/oferta/42-m2-2-pokoje-wola-park-CID3-IDLVLpz.html#4a0499b52f;promoted
 Ochota,55.0,3,2800.0,500.0,https://www.olx.pl/d/oferta/wynajme-mieszkanie-55-m-kw-wa-wa-ochota-przy-parku-CID3-IDLNcv1.html#4a0499b52f;promoted
